iter	Accuracy	Logloss
0	0.8914473684	0.6338676809
1	0.9046052632	0.5837610596
2	0.9156578947	0.5386669386
3	0.9178947368	0.4955482624
4	0.9214473684	0.4648125104
5	0.9234210526	0.4345552212
6	0.9271052632	0.4102456157
7	0.9317105263	0.3868847708
8	0.9319736842	0.3684374811
9	0.9321052632	0.3496505407
10	0.9376315789	0.332566543
11	0.9376315789	0.3199774745
12	0.9394736842	0.3091217561
13	0.9415789474	0.2997332048
14	0.9419736842	0.2874118957
15	0.9455263158	0.2776062231
16	0.9476315789	0.2663661492
17	0.9486842105	0.2597763919
18	0.9511842105	0.2511312668
19	0.9522368421	0.2440010807
20	0.9522368421	0.2394136107
21	0.9525	0.2340713332
22	0.9534210526	0.2269593613
23	0.9553947368	0.2193689216
24	0.9568421053	0.214166528
25	0.9575	0.2086424098
26	0.9585526316	0.2038312364
27	0.9582894737	0.1999436922
28	0.9596052632	0.1968643285
29	0.9598684211	0.1912834882
30	0.9611842105	0.1877583037
31	0.9615789474	0.1840893647
32	0.9614473684	0.181430441
33	0.9613157895	0.1789488355
34	0.9610526316	0.1770234756
35	0.9610526316	0.1747456579
36	0.9615789474	0.1711551407
37	0.9622368421	0.1678539428
38	0.9630263158	0.1651489392
39	0.9642105263	0.1631898649
40	0.9642105263	0.1604264491
41	0.9644736842	0.1582981719
42	0.9653947368	0.1549663597
43	0.9659210526	0.152844424
44	0.9659210526	0.1510604428
45	0.9669736842	0.1493786669
46	0.9668421053	0.1476009937
47	0.9676315789	0.1454190298
48	0.9673684211	0.1442654154
49	0.9682894737	0.1424229263
50	0.9684210526	0.1409687289
51	0.9685526316	0.1392872688
52	0.9685526316	0.1374734606
53	0.9684210526	0.1356887154
54	0.9688157895	0.1340563807
55	0.9697368421	0.1323884796
56	0.9702631579	0.1305987515
57	0.9705263158	0.1292110987
58	0.9709210526	0.1277291666
59	0.9713157895	0.1262473277
60	0.9710526316	0.1242881835
61	0.9710526316	0.1234028823
62	0.9717105263	0.1224616727
63	0.9713157895	0.1217669638
64	0.9714473684	0.1200790861
65	0.9718421053	0.1193993097
66	0.9719736842	0.1181021039
67	0.9723684211	0.1170748392
68	0.9730263158	0.1159144618
69	0.9735526316	0.1148231121
70	0.9730263158	0.113909999
71	0.9738157895	0.1129586684
72	0.9736842105	0.1124122351
73	0.9743421053	0.1115064023
74	0.9743421053	0.110430847
75	0.9751315789	0.1093367227
76	0.9751315789	0.1082561066
77	0.9753947368	0.1072924492
78	0.9756578947	0.106645474
79	0.9757894737	0.1058913862
80	0.9761842105	0.1049706706
81	0.9761842105	0.1043750217
82	0.9763157895	0.1038950036
83	0.9764473684	0.1031857847
84	0.9765789474	0.1024772556
85	0.9763157895	0.1017019192
86	0.9763157895	0.1008933947
87	0.9763157895	0.1001651355
88	0.9767105263	0.0995618597
89	0.9765789474	0.09873623972
90	0.9768421053	0.09800089702
91	0.9764473684	0.09735886884
92	0.9768421053	0.096608844
93	0.9771052632	0.09577677726
94	0.9765789474	0.09492046266
95	0.9776315789	0.09412591502
96	0.9780263158	0.0934421252
97	0.9784210526	0.0929042098
98	0.9782894737	0.09222326708
99	0.9784210526	0.09163608054
100	0.9786842105	0.09111469637
101	0.9784210526	0.09049938979
102	0.9782894737	0.08989189334
103	0.9786842105	0.08920924098
104	0.9792105263	0.08861303346
105	0.9789473684	0.08791139359
106	0.9790789474	0.08733630358
107	0.9798684211	0.08669254976
108	0.9802631579	0.08577180824
109	0.9803947368	0.08522894621
110	0.9802631579	0.08470285737
111	0.9811842105	0.08381584303
112	0.9811842105	0.08303237444
113	0.9811842105	0.08269711913
114	0.9810526316	0.08235600883
115	0.9813157895	0.08192620937
116	0.9815789474	0.08163073326
117	0.9814473684	0.08133332717
118	0.9819736842	0.08068406663
119	0.9819736842	0.08036054317
120	0.9819736842	0.07984843047
121	0.9818421053	0.07941429917
122	0.9819736842	0.078944866
123	0.9822368421	0.07863320027
124	0.9823684211	0.0782923658
125	0.9826315789	0.07780252523
126	0.9825	0.07732908103
127	0.9826315789	0.07692865102
128	0.9831578947	0.07634878033
129	0.9831578947	0.07593145894
130	0.9835526316	0.07554040527
131	0.9838157895	0.07517614332
132	0.9836842105	0.07478999605
133	0.9835526316	0.07447824959
134	0.9838157895	0.07418177883
135	0.9839473684	0.07387371817
136	0.9843421053	0.07346962093
137	0.9843421053	0.07316420525
138	0.9843421053	0.07290025216
139	0.9838157895	0.07254846378
140	0.9839473684	0.07224968157
141	0.9836842105	0.07206985824
142	0.9839473684	0.07182466641
143	0.9840789474	0.07144440303
144	0.9842105263	0.07118895908
145	0.9842105263	0.0707259668
146	0.9840789474	0.07043327923
147	0.9844736842	0.07018804304
148	0.9848684211	0.06981819434
149	0.9853947368	0.06952927739
150	0.9855263158	0.06911696262
151	0.9855263158	0.06879459639
152	0.9855263158	0.06863328516
153	0.9855263158	0.06843739175
154	0.9853947368	0.06822892666
155	0.9853947368	0.0680380645
156	0.9855263158	0.06744488671
157	0.9853947368	0.06725484234
158	0.9853947368	0.06687602152
159	0.9853947368	0.06672325725
160	0.9853947368	0.066251043
161	0.9853947368	0.0659164	0.98162	0.9855263158	0.06565487791
163	0.9857894737	0.06521689621
164	0.9857894737	0.06498486026
165	0.9860526316	0.06469765413
166	0.9859210526	0.06434354072
167	0.9860526316	0.06408547343
168	0.9859210526	0.06386225527
169	0.9861842105	0.06353280052
170	0.9860526316	0.06314048804
171	0.9860526316	0.06301259683
172	0.9861842105	0.06287741216
173	0.9863157895	0.0626369108
174	0.9861842105	0.06235887824
175	0.9863157895	0.06210817553
176	0.9863157895	0.06182708707
177	0.9864473684	0.06152569349
178	0.9864473684	0.06126263675
179	0.9864473684	0.06105575691
180	0.9864473684	0.06077182052
181	0.9867105263	0.06043972909
182	0.9868421053	0.06010842254
183	0.9867105263	0.05992451329
184	0.9868421053	0.05961343638
185	0.9869736842	0.05940774243
186	0.9871052632	0.05910600797
187	0.9872368421	0.0590022705
188	0.9871052632	0.05888821378
189	0.9872368421	0.05866393693
190	0.9873684211	0.05845589814
191	0.9875	0.05828270536
192	0.9876315789	0.05812311375
193	0.9875	0.05780486103
194	0.9876315789	0.05762499026
195	0.9875	0.05745060554
196	0.9876315789	0.05733169976
197	0.9877631579	0.0571422178
198	0.9880263158	0.05694696832
199	0.9880263202	0.9856578947	0200	0.9880263203	0.9856578947	0201	0.9880263204	0.9853947368	0202	0.9881578947	0.05625689405
203	0.9881578206	0.9857894737	0204	0.988289207	0.9856578947	0.205	0.988289208	0.9856578947	0.206	0.9882894737	0.05506256935
207	0.9886842105	0.05484375295
208	0.9888157895	0.05468907669
209	0.9886842105	0.05440166162
210	0.9886842105	0.05421425535
211	0.9888157895	0.05402849983
212	0.9888157895	0.05393427304
213	0.9888157895	0.05386656938
214	0.9889473684	0.05360486229
215	0.9893421053	0.05337434059
216	0.989219	0.9864473684	0.062217	0.989220	0.9865789474	0.062218	0.989221	0.9864473684	0.062219	0.989222	0.9867105263	0.062220	0.989223	0.9868421053	0.06221	0.9896224	0.9867105263	0.06187898683
225	0.9868421053	0.06223	0.9896226	0.9872368421	0.0224	0.9896227	0.9872368421	0.06225	0.9896228	0.9873684211	0.06119952397
229	0.9875	0.06104842534
230	0.9875	0.06088580599
231	0.9875	0.06066082633
232	0.9873684211	0.06039610246
233	0.9873684211	0.06030943348
234	0.9873684211	0.06003325012
235	0.9873684211	0.05994154849
236	0.9875	0.0597846831
237	0.9876315789	0.05959621664
238	0.9876315789	0.05946159162
239	0.9876315789	0.05940199056
240	0.9875	0.05916726269
241	0.9875	0.05899264737
242	0.9875	0.05886847032
243	0.9876315789	0.05868080814
244	0.9875	0.05847537465
245	0.9875	0.05833592368
246	0.9875	0.0582663055
247	0.9877631579	0.0580271781
248	0.9877631579	0.05795767447
249	0.9880263158	0.05785738868
250	0.9881578947	0.05752382399
251	0.9881578947	0.05745922016
252	0.9881578947	0.05736890894
253	0.9880263158	0.05710408159
254	0.9881578947	0.05703361705
255	0.9882894737	0.05697854483
256	0.9881578947	0.05667378329
257	0.9884210526	0.05658987307
258	0.9884210526	0.05647140758
259	0.9882894737	0.05633020038
260	0.9881578947	0.05625651302
261	0.9881578947	0.05622280977
262	0.9884210526	0.05604028726
263	0.9884210526	0.05596238874
264	0.9884210526	0.05590562602
265	0.9885526316	0.05577176111
266	0.9888157895	0.05561242364
267	0.9889473684	0.05538591745
268	0.9888157895	0.05534899443
269	0.9888157895	0.05529385718
270	0.9888157895	0.05524596609
271	0.9888157895	0.05516502786
272	0.9888157895	0.05503803194
273	0.9888157895	0.05499397505
274	0.9888157895	0.05483243935
275	0.9888157895	0.05479704015
276	0.9888157895	0.054574143
277	0.9889473684	0.05450398151
278	0.9889473684	0.05435645808
279	0.9889473684	0.05423479877
280	0.9889473684	0.05415222924
281	0.9890789474	0.05403703044
282	0.9890789474	0.05389248079
283	0.9890789474	0.05384870155
284	0.9890789474	0.05365838109
285	0.9890789474	0.053550047
286	0.9890789474	0.05344029723
287	0.9890789474	0.05334063273
288	0.9890789474	0.05329919838
289	0.9892105263	0.05312604407
290	0.9892105263	0.05305267068
291	0.9893421053	0.05284996448
292	0.9892105263	0.0526644644
293	0.9892105263	0.05259150605
294	0.9896052632	0.0524073111
295	0.9896052632	0.05231947511
296	0.9897368421	0.05223570647
297	0.9897368421	0.05219393655
298	0.9897368421	0.05207863701
299	0.9897368421	0.05197303755
919736842	0.04147992134
298	0.9918421053	0.04130088483
299	0.9919736842	0.04117622629
8684211	0.05121299141
